year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_recovered,total_recovered,new_death,total_death,case_foreign,case_prison,case_walkin,case_new_prev,case_new_diff,death_new_prev,death_new_diff
2022,1,กระบี่,226,261,182,213,0,0,2,3,,,,,,,
2022,1,กรุงเทพมหานคร,3329,3783,3106,3514,0,0,10,11,,,,,,,
2022,1,กาญจนบุรี,217,245,217,244,0,0,2,2,,,,,,,
2022,1,กาฬสินธุ์,397,452,395,450,0,0,0,0,,,,,,,
2022,1,กำแพงเพชร,120,127,119,126,0,0,0,0,,,,,,,
2022,1,ขอนแก่น,1378,1477,1374,1473,0,0,4,4,,,,,,,
2022,1,จันทบุรี,196,211,195,210,0,0,0,0,,,,,,,
2022,1,ฉะเชิงเทรา,407,433,403,429,0,0,2,2,,,,,,,
2022,1,ชลบุรี,5059,5367,4779,5068,0,0,1,1,,,,,,,
2022,1,ชัยนาท,106,109,106,109,0,0,0,0,,,,,,,
2022,1,ชัยภูมิ,248,263,247,262,0,0,1,1,,,,,,,
2022,1,ชุมพร,242,259,242,259,0,0,0,0,,,,,,,
2022,1,ตรัง,255,302,250,297,0,0,2,4,,,,,,,
2022,1,ตราด,220,224,195,198,0,0,0,0,,,,,,,
2022,1,ตาก,257,275,256,272,0,0,4,4,,,,,,,
2022,1,ทั้งประเทศ,34593,37604,33067,35936,19453,22768,105,115,1526,319,31802,29341,5252,101,4
2022,1,นครนายก,93,107,93,107,0,0,0,0,,,,,,,
2022,1,นครปฐม,209,227,209,227,0,0,0,0,,,,,,,
2022,1,นครพนม,121,128,121,128,0,0,0,0,,,,,,,
2022,1,นครราชสีมา,332,369,332,369,0,0,5,7,,,,,,,
2022,1,นครศรีธรรมราช,970,1131,969,1130,0,0,1,1,,,,,,,
2022,1,นครสวรรค์,292,318,292,318,0,0,4,5,,,,,,,
2022,1,นนทบุรี,924,966,924,965,0,0,0,0,,,,,,,
2022,1,นราธิวาส,57,64,57,64,0,0,0,0,,,,,,,
2022,1,น่าน,182,200,182,200,0,0,0,0,,,,,,,
2022,1,บึงกาฬ,143,150,141,148,0,0,1,1,,,,,,,
2022,1,บุรีรัมย์,604,630,599,625,0,0,2,2,,,,,,,
2022,1,ปทุมธานี,292,337,289,334,0,0,0,0,,,,,,,
2022,1,ประจวบคีรีขันธ์,321,358,292,327,0,0,0,0,,,,,,,
